Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-8.159008026,0.9986342192,-8.541007996,0.9986878633,-9.045811653,0.9987553358,-9.353055954,0.9987962842,-9.714419365,0.9988469481,-9.958109856,0.9988846779,-10.3395853,0.9989517927
-7.885692596,0.9985940456,-8.260766983,0.998649776,-8.758243561,0.9987200499,-9.062693596,0.9987630248,-9.4230299,0.998816669,-9.667572021,0.9988565445,-10.05281734,0.9989279509
-7.621260166,0.9985528588,-7.989044189,0.9986106753,-8.478626251,0.9986838698,-8.77989769,0.998728931,-9.13873291,0.998785615,-9.383802414,0.9988278151,-9.772315025,0.998903811
-7.365450859,0.9985108376,-7.72563982,0.9985707402,-8.2068367,0.9986467361,-8.504588127,0.998693943,-8.861491203,0.9987536669,-9.106786728,0.99879843,-9.498090744,0.9988789558
-7.118018627,0.998467803,-7.470360279,0.9985298514,-7.942754745,0.9986087084,-8.236685753,0.9986580014,-8.591265678,0.9987208843,-8.836506844,0.9987683296,-9.230148315,0.9988536239
-6.878712177,0.9984238744,-7.223005772,0.9984879494,-7.686245441,0.9985697269,-7.976092815,0.9986212254,-8.327997208,0.9986873269,-8.572925568,0.9987375736,-8.968473434,0.9988280535
-6.64729166,0.9983791113,-6.983380318,0.9984451532,-7.437175274,0.9985298514,-7.722711086,0.9985835552,-8.071623802,0.9986530542,-8.315998077,0.998706162,-8.713047028,0.9988019466
-6.423519135,0.9983334541,-6.75128746,0.9984014034,-7.195402622,0.9984891415,-7.476432323,0.998544991,-7.822069645,0.9986180067,-8.065670013,0.9986742139,-8.463834763,0.9987754822
-6.20716095,0.9982869029,-6.526531219,0.9983568192,-6.960784435,0.9984473586,-7.237142086,0.9985055327,-7.579253197,0.9985821843,-7.821876526,0.9986416101,-8.22079277,0.9987486601
-5.997991562,0.9982394576,-6.30891943,0.9983112216,-6.733174324,0.9984046817,-7.004723549,0.9984652996,-7.34308672,0.9985457063,-7.584547043,0.9986082315,-7.98387289,0.99872154
