variables="x","C<sub>f</sub>"
zone, t="CFL3D"
 3.307321966E-01 3.158279695E-03
 3.332248330E-01 3.154614707E-03
 3.357351422E-01 3.150957869E-03
 3.382633626E-01 3.147308715E-03
 3.408097029E-01 3.143666545E-03
 3.433744013E-01 3.140031826E-03
 3.459576964E-01 3.136404324E-03
 3.485597968E-01 3.132784273E-03
 3.511810005E-01 3.129170509E-03
 3.538214862E-01 3.125563264E-03
 3.564815521E-01 3.121962538E-03
 3.591614366E-01 3.118368564E-03
 3.618614078E-01 3.114780877E-03
 3.645817339E-01 3.111198777E-03
 3.673226237E-01 3.107622266E-03
 3.700844347E-01 3.104051808E-03
 3.728674054E-01 3.100487171E-03
 3.756718040E-01 3.096927656E-03
 3.784979284E-01 3.093372798E-03
 3.813460767E-01 3.089823294E-03
 3.842165470E-01 3.086279146E-03
 3.871096373E-01 3.082739655E-03
 3.900256455E-01 3.079204587E-03
 3.929648995E-01 3.075673711E-03
 3.959276974E-01 3.072147258E-03
 3.989143968E-01 3.068625461E-03
 4.019253254E-01 3.065107390E-03
 4.049607813E-01 3.061592812E-03
 4.080211222E-01 3.058081958E-03
 4.111067355E-01 3.054575063E-03
 4.142179191E-01 3.051071661E-03
 4.173550904E-01 3.047571052E-03
 4.205185771E-01 3.044073470E-03
 4.237087667E-01 3.040579148E-03
 4.269260764E-01 3.037087852E-03
 4.301708341E-01 3.033599118E-03
 4.334434569E-01 3.030112712E-03
 4.367443919E-01 3.026627935E-03
 4.400739968E-01 3.023144556E-03
 4.434327483E-01 3.019661643E-03
 4.468210340E-01 3.016179660E-03
 4.502393007E-01 3.012699075E-03
 4.536879957E-01 3.009220585E-03
 4.571675658E-01 3.005743725E-03
 4.606784880E-01 3.002268262E-03
 4.642212391E-01 2.998793498E-03
 4.677962959E-01 2.995319897E-03
 4.714041352E-01 2.991847694E-03
 4.750452936E-01 2.988376422E-03
 4.787202775E-01 2.984905383E-03
 4.824295640E-01 2.981434576E-03
 4.861737490E-01 2.977964701E-03
 4.899533391E-01 2.974495059E-03
 4.937689006E-01 2.971025417E-03
 4.976209998E-01 2.967555309E-03
 5.015102029E-01 2.964085201E-03
 5.054371357E-01 2.960615093E-03
 5.094023943E-01 2.957144286E-03
 5.134065747E-01 2.953672549E-03
 5.174503326E-01 2.950200113E-03
 5.215342641E-01 2.946726978E-03
 5.256590843E-01 2.943252679E-03
 5.298254490E-01 2.939776983E-03
 5.340340734E-01 2.936299657E-03
 5.382856131E-01 2.932820935E-03
 5.425807834E-01 2.929341048E-03
 5.469203591E-01 2.925858833E-03
 5.513049960E-01 2.922374289E-03
 5.557355881E-01 2.918887651E-03
 5.602129102E-01 2.915399382E-03
 5.647376776E-01 2.911908086E-03
 5.693107247E-01 2.908413997E-03
 5.739330053E-01 2.904917346E-03
 5.786052346E-01 2.901417902E-03
 5.833283663E-01 2.897915430E-03
 5.881032944E-01 2.894409234E-03
 5.929309130E-01 2.890899545E-03
 5.978122354E-01 2.887386829E-03
 6.027481556E-01 2.883870155E-03
 6.077396870E-01 2.880349057E-03
 6.127878428E-01 2.876823302E-03
 6.178936362E-01 2.873293357E-03
