"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8273,5.8331e-06,0.00024477,1679.6,0,8.0443e-06,12299,11.248,0.0043812,-2.1745e-12,1.0225e-16,-5.9738e-19,-5.6608e-16,8.3731e-15,1.5296e-14,0,0,0,0,0.99941,0.4747,1.6497,63.816,0.022825,0,0,1,0.018936,0.018936,0,0
1.8272,5.834e-06,0.00025479,1679.5,0,8.0453e-06,12449,11.644,0.0045354,-2.0741e-12,1.339e-16,-7.2329e-19,-5.6716e-16,1.0504e-14,1.9339e-14,0,0,0,0,0.99928,0.49337,1.7397,63.74,0.024207,0,0,1,0.019357,0.019357,0,0
1.827,5.8354e-06,0.00026712,1679.4,0,8.0468e-06,12612,12.13,0.0047247,-1.9501e-12,1.5459e-16,4.9466e-19,-5.5498e-16,1.1788e-14,2.1946e-14,0,0,0,0,0.99907,0.51633,1.8547,63.646,0.025885,0,0,1,0.019778,0.019778,0,0
1.8268,5.8369e-06,0.00027946,1679.2,0,8.0484e-06,12776,12.616,0.0049139,-1.826e-12,1.7529e-16,1.7126e-18,-5.428e-16,1.3073e-14,2.4552e-14,0,0,0,0,0.99885,0.53929,1.9697,63.553,0.027563,0,0,1,0.020198,0.020198,0,0
1.8266,5.8383e-06,0.00029179,1679.1,0,8.05e-06,12939,13.102,0.0051032,-1.702e-12,1.9598e-16,2.9305e-18,-5.3062e-16,1.4357e-14,2.7159e-14,0,0,0,0,0.99864,0.56226,2.0847,63.46,0.029241,0,0,1,0.020619,0.020619,0,0
1.8264,5.8398e-06,0.00030412,1678.9,0,8.0515e-06,13102,13.588,0.0052924,-1.5779e-12,2.1668e-16,4.1485e-18,-5.1845e-16,1.5641e-14,2.9766e-14,0,0,0,0,0.99843,0.58522,2.1996,63.366,0.030919,0,0,1,0.02104,0.02104,0,0
1.8262,5.8412e-06,0.00031646,1678.8,0,8.0531e-06,13266,14.074,0.0054817,-1.4539e-12,2.3737e-16,5.3664e-18,-5.0627e-16,1.6926e-14,3.2373e-14,0,0,0,0,0.99822,0.60818,2.3146,63.273,0.032596,0,0,1,0.021461,0.021461,0,0
1.826,5.8427e-06,0.00032879,1678.7,0,8.0546e-06,13429,14.56,0.0056709,-1.3298e-12,2.5806e-16,6.5844e-18,-4.9409e-16,1.821e-14,3.498e-14,0,0,0,0,0.998,0.63114,2.4296,63.18,0.034274,0,0,1,0.021882,0.021882,0,0
1.8258,5.8441e-06,0.00034112,1678.5,0,8.0562e-06,13592,15.046,0.0058602,-1.2057e-12,2.7876e-16,7.8023e-18,-4.8191e-16,1.9494e-14,3.7586e-14,0,0,0,0,0.99779,0.65411,2.5446,63.086,0.035952,0,0,1,0.022302,0.022302,0,0
1.8254,5.8467e-06,0.00035656,1678.3,0,8.059e-06,13762,15.6,0.0060763,-1.0824e-12,2.9356e-16,8.2503e-18,-4.666e-16,2.0377e-14,3.9396e-14,0,0,0,0,0.99742,0.68276,2.6953,62.976,0.037881,0,0,1,0.022723,0.022723,0,0
