"x","y_y0","u"
 7.500000000E-01, 3.071497008E-02, 1.222288847E+00
 7.500000000E-01, 3.134072199E-02, 1.221036553E+00
 7.500000000E-01, 3.197922930E-02, 1.219769001E+00
 7.500000000E-01, 3.263073787E-02, 1.218486547E+00
 7.500000000E-01, 3.329552338E-02, 1.217188954E+00
 7.500000000E-01, 3.397385404E-02, 1.215876460E+00
 7.500000000E-01, 3.466600552E-02, 1.214548826E+00
 7.500000000E-01, 3.537225351E-02, 1.213206291E+00
 7.500000000E-01, 3.609288856E-02, 1.211848736E+00
 7.500000000E-01, 3.682820871E-02, 1.210476279E+00
 7.500000000E-01, 3.757851198E-02, 1.209089041E+00
 7.500000000E-01, 3.834409639E-02, 1.207687020E+00
 7.500000000E-01, 3.912528232E-02, 1.206270337E+00
 7.500000000E-01, 3.992238268E-02, 1.204838991E+00
 7.500000000E-01, 4.073571786E-02, 1.203393102E+00
 7.500000000E-01, 4.156563058E-02, 1.201932907E+00
 7.500000000E-01, 4.241244122E-02, 1.200458288E+00
 7.500000000E-01, 4.327650741E-02, 1.198969603E+00
 7.500000000E-01, 4.415817931E-02, 1.197466731E+00
 7.500000000E-01, 4.505781457E-02, 1.195950031E+00
 7.500000000E-01, 4.597577825E-02, 1.194419622E+00
 7.500000000E-01, 4.691244289E-02, 1.192875504E+00
 7.500000000E-01, 4.786818847E-02, 1.191317916E+00
 7.500000000E-01, 4.884340242E-02, 1.189747095E+00
 7.500000000E-01, 4.983849451E-02, 1.188163280E+00
 7.500000000E-01, 5.085385218E-02, 1.186566472E+00
 7.500000000E-01, 5.188989267E-02, 1.184957147E+00
 7.500000000E-01, 5.294704810E-02, 1.183335304E+00
 7.500000000E-01, 5.402573571E-02, 1.181701303E+00
 7.500000000E-01, 5.512640253E-02, 1.180055380E+00
 7.500000000E-01, 5.624948815E-02, 1.178397775E+00
 7.500000000E-01, 5.739546195E-02, 1.176728725E+00
 7.500000000E-01, 5.856477842E-02, 1.175048590E+00
 7.500000000E-01, 5.975791439E-02, 1.173357487E+00
 7.500000000E-01, 6.097536162E-02, 1.171655893E+00
 7.500000000E-01, 6.221761182E-02, 1.169943929E+00
 7.500000000E-01, 6.348517537E-02, 1.168222189E+00
 7.500000000E-01, 6.477855146E-02, 1.166490793E+00
 7.500000000E-01, 6.609828770E-02, 1.164750099E+00
 7.500000000E-01, 6.744490564E-02, 1.163000584E+00
 7.500000000E-01, 6.881895661E-02, 1.161242485E+00
 7.500000000E-01, 7.022100687E-02, 1.159476161E+00
 7.500000000E-01, 7.165161520E-02, 1.157702208E+00
 7.500000000E-01, 7.311137766E-02, 1.155920744E+00
 7.500000000E-01, 7.460086793E-02, 1.154132366E+00
