 "x","y","mut"
 7.500003741E-01, 5.223189301E-02, 6.973975601E+01
 7.500003741E-01, 5.227736607E-02, 7.027678424E+01
 7.500003741E-01, 5.232376550E-02, 7.080692350E+01
 7.500003741E-01, 5.237111017E-02, 7.132979442E+01
 7.500003741E-01, 5.241941935E-02, 7.184500513E+01
 7.500003741E-01, 5.246871267E-02, 7.235215050E+01
 7.500003741E-01, 5.251901019E-02, 7.285081127E+01
 7.500003741E-01, 5.257033237E-02, 7.334055306E+01
 7.500003741E-01, 5.262270009E-02, 7.382092539E+01
 7.500003741E-01, 5.267613465E-02, 7.429146060E+01
 7.500003741E-01, 5.273065779E-02, 7.475167262E+01
 7.500003741E-01, 5.278629168E-02, 7.520105574E+01
 7.500003741E-01, 5.284305895E-02, 7.563908325E+01
 7.500003741E-01, 5.290098270E-02, 7.606520603E+01
 7.500003741E-01, 5.296008648E-02, 7.647885096E+01
 7.500003741E-01, 5.302039434E-02, 7.687941937E+01
 7.500003741E-01, 5.308193081E-02, 7.726628524E+01
 7.500003741E-01, 5.314472093E-02, 7.763879344E+01
 7.500003741E-01, 5.320879022E-02, 7.799625778E+01
 7.500003741E-01, 5.327416476E-02, 7.833795902E+01
 7.500003741E-01, 5.334087113E-02, 7.866314273E+01
 7.500003741E-01, 5.340893648E-02, 7.897101712E+01
 7.500003741E-01, 5.347838848E-02, 7.926075072E+01
 7.500003741E-01, 5.354925539E-02, 7.953147001E+01
 7.500003741E-01, 5.362156604E-02, 7.978225693E+01
 7.500003741E-01, 5.369534983E-02, 8.001214634E+01
 7.500003741E-01, 5.377063679E-02, 8.022012339E+01
 7.500003741E-01, 5.384745753E-02, 8.040512084E+01
 7.500003741E-01, 5.392584331E-02, 8.056601628E+01
 7.500003741E-01, 5.400582601E-02, 8.070162936E+01
 7.500003741E-01, 5.408743816E-02, 8.081071894E+01
 7.500003741E-01, 5.417071297E-02, 8.089198020E+01
 7.500003741E-01, 5.425568430E-02, 8.094404181E+01
 7.500003741E-01, 5.434238672E-02, 8.096546300E+01
 7.500003741E-01, 5.443085550E-02, 8.095473073E+01
 7.500003741E-01, 5.452112663E-02, 8.091025682E+01
 7.500003741E-01, 5.461323682E-02, 8.083037521E+01
 7.500003741E-01, 5.470722354E-02, 8.071333923E+01
 7.500003741E-01, 5.480312502E-02, 8.055731894E+01
 7.500003741E-01, 5.490098028E-02, 8.036039871E+01
 7.500003741E-01, 5.500082911E-02, 8.012057475E+01
 7.500003741E-01, 5.510271214E-02, 7.983575299E+01
 7.500003741E-01, 5.520667080E-02, 7.950374699E+01
 7.500003741E-01, 5.531274739E-02, 7.912227621E+01
 7.500003741E-01, 5.542098505E-02, 7.868896447E+01
 7.500003741E-01, 5.553142781E-02, 7.820133868E+01
 7.500003741E-01, 5.564412060E-02, 7.765682802E+01
 7.500003741E-01, 5.575910925E-02, 7.705276338E+01
 7.500003741E-01, 5.587644054E-02, 7.638637735E+01
 7.500003741E-01, 5.599616220E-02, 7.565480465E+01
 7.500003741E-01, 5.611832292E-02, 7.485508321E+01
 7.500003741E-01, 5.624297241E-02, 7.398415587E+01
 7.500003741E-01, 5.637016135E-02, 7.303887289E+01
 7.500003741E-01, 5.649994149E-02, 7.201599531E+01
 7.500003741E-01, 5.663236562E-02, 7.091219937E+01
 7.500003741E-01, 5.676748760E-02, 6.972408218E+01
 7.500003741E-01, 5.690536241E-02, 6.844816866E+01
 7.500003741E-01, 5.704604611E-02, 6.708092030E+01
 7.500003741E-01, 5.718959595E-02, 6.561874568E+01
 7.500003741E-01, 5.733607030E-02, 6.405801347E+01
